Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Industry Groups,Number of Employees,Funding Status,Founders,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Full Description,Headquarters Regions,Postal Code,Estimated Revenue Range,Operating Status,Company Type,Hub Tags,Actively Hiring,Investor Type,Investment Stage,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Number of Portfolio Organizations,School Type,School Program,Number of Enrollments,School Method,Number of Alumni,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Number of Funding Rounds,Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,CB Rank (Organization),Similar Companies,Contact Job Departments,Total Products Active,Stage
Logice,https://www.crunchbase.com/organization/logice,"Logistics, Supply Chain Management, Transportation","Jakarta, Jakarta Raya, Indonesia","Logice delivers seamless cold chain solutions, improving reliability in warehouse, delivery, and processing.","130,527",Transportation,1-10,Seed,,2020-09-01,month,,,,,https://www.logiceindonesia.com/,,,https://www.linkedin.com/company/logice-indonesia/,sales@logiceindonesia.com,+62-813-896-866-86,,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",12720,,Active,For Profit,,,,,,,,,,,,,,,,2024-12-27,125000.0,USD,125000.0,Pre-Seed,125000.0,USD,125000.0,Pre-Seed,125000.0,USD,125000.0,125000.0,USD,125000.0,1.0,Antler,,1.0,,,Private,,,,,,,,,,,,,"138,574",,,,
DekatKita,https://www.crunchbase.com/organization/dekatkita,"Communities, E-Commerce","Jakarta, Jakarta Raya, Indonesia",Commerce Enabler,"130,761","Commerce and Shopping, Community and Lifestyle",1-10,Seed,Marshall Silver,2021-04-01,month,,,,,https://dekatkita.co,,,https://www.linkedin.com/company/dekatkita,marshall@dekatkita.co,,"Try DekatKita for free: https://www.dekatkita.co  At DekatKita, we offer simple, but powerful tools to help Indonesia’s small businesses sell their products to nearby customers and manage their business more professionally. Our mission is to boost the GDP of local communities and improve discovery of what’s nearby.   We have active pilots in Bandung, Bogor and Malang. If you are passionate about micro-entrepreneurship or want to partner with us, then please email us at team@dekatkita.co or engage with our Instagram account: https://www.instagram.com/dekat.kita","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,,Active,For Profit,,,,,,,,,,,,,,,,2021-12-31,385000.0,USD,385000.0,Pre-Seed,385000.0,USD,385000.0,Pre-Seed,385000.0,USD,385000.0,385000.0,USD,385000.0,1.0,,,,,,Private,,,,,,,,,,,,,"138,825",8.0,,,
kora.id,https://www.crunchbase.com/organization/kora-id,"Agriculture, Business Information Systems, Business Intelligence, Food and Beverage, Information Services","Jakarta, Jakarta Raya, Indonesia",Kora is an end to end supply chain solution for F&B services,"131,465","Agriculture and Farming, Data and Analytics, Food and Beverage, Information Technology",51-100,Seed,Ardi Suden,2017-07-17,day,,,,,http://kora.id/,https://twitter.com/KoraIndonesia,,https://www.linkedin.com/company/kora-indonesia,ardi@kora.id,,"Kora is an end to end supply chain solutions for F&B services. We help F&B from product sourcing, supplier management, central warehouse, distribution to cold chain solution. Leave all of the supply chain stuff to Kora and focus for the growth of your F&B brand.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,,Active,For Profit,,,,,,,,,,,,,,,,2023-09-15,400000.0,USD,400000.0,Pre-Seed,400000.0,USD,400000.0,Pre-Seed,583300.0,USD,583300.0,583300.0,USD,583300.0,2.0,"Antler, Gibran Huzaifah",1.0,2.0,,,Private,,,,,,,,,,,,,"139,558",3.0,,,
Outpost,https://www.crunchbase.com/organization/outpost-fb8e,,"Bali, Jawa Barat, Indonesia","Outpost is a hospitality brand delivering live, work and travel services to a community of remote workers.","131,591",,11-50,Seed,"Bryan Stewart, David Abraham",2016-01-01,year,,,,,https://destinationoutpost.co,,https://www.facebook.com/DestinationOutpost,https://www.linkedin.com/company/destination-outpost/,hello@destinationoutpost.co,+62 361 9080584,"Outpost makes the work-from-anywhere lifestyle accessible. Our online platform and network of live/work destinations empower “anywhere workers” with the community and services they need to be successful. We unite and empower a movement of global citizens and creatives to live lives defined by exploration, growth and connection. Whether you are new to remote work; seeking to connect with entrepreneurs and creatives; or a company looking to reward your newly remote team, we invite you to join the movement.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,$1M to $10M,Active,For Profit,,,,,,,,,,,,,,,,2019-05-20,1300000.0,USD,1300000.0,Seed,1300000.0,USD,1300000.0,Seed,1300000.0,USD,1300000.0,1300000.0,USD,1300000.0,1.0,"EverHaüs, Strypes Holdings, Clarenberg Ventures",1.0,3.0,,,Private,,,,,,,,,,,,,"139,688",6.0,,17.0,
PT Adiwisista Finansial Teknologi,https://www.crunchbase.com/organization/pt-adiwisista-financial-teknologi,"Finance, Financial Services, FinTech","Jakarta, Jakarta Raya, Indonesia","PT Adiwisista Finansial Teknologi offers financial services with a tech-driven approach, licensed by Indonesia FSA, branded as Danai.id.","131,594",Financial Services,51-100,Early Stage Venture,"Adimukyo Mardjikoen, Azhar Abdul Wahab",2018-04-18,day,,,,,https://www.danai.id,,,https://www.linkedin.com/company/14546761,enquiry@adiwisista.com,62 21 5010 3360,"PT Adiwisista Finansial Teknologi operates in the financial services industry, focusing on leveraging technology to offer innovative solutions. Established in 2018, the company has grown to employ around 50 individuals dedicated to enhancing financial accessibility and efficiency. It has engaged in strategic partnerships, such as with Salvatore Financial for securities issuance and with Bank SMBC Indonesia for loan channeling. It oversees Danai.id, a platform under its umbrella, which has secured operational licensing from Indonesia's Financial Services Authority (OJK). The company's commitment to integrating technology with financial services is evident in its efforts to streamline processes and offer financial products that cater to the evolving needs of its clients.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",12190,$1M to $10M,Active,For Profit,,,,,,,,,,,,,,,,2024-01-02,,,,Series A,,,,Series A,1750000.0,USD,1750000.0,1750000.0,USD,1750000.0,2.0,Luminor Capital,1.0,1.0,,,Private,,,,,,,,,,,,,"139,692",10.0,,,
PLans,https://www.crunchbase.com/organization/plans-7dfd,"Health Care, Personal Health, Women's","Jakarta, Jakarta Raya, Indonesia",Plans provides fertility services and helps to plan pregnancy.,"131,605","Community and Lifestyle, Health Care",1-10,Seed,,2023-09-19,day,,,,,https://with-plans.com/,,,,contact@with-plans.com,+62 85280669174,,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",16810,Less than $1M,Active,For Profit,,,,,,,,,,,,,,,,2023-09-12,125000.0,USD,125000.0,Pre-Seed,125000.0,USD,125000.0,Pre-Seed,125000.0,USD,125000.0,125000.0,USD,125000.0,1.0,Antler,,1.0,,,Private,,,,,,,,,,,,,"139,703",8.0,,,
Itemku,https://www.crunchbase.com/organization/itemku,"E-Commerce, Marketplace, Online Portals","Jakarta, Jakarta Raya, Indonesia",Itemku is an online marketplace for game-related digital products.,"131,636","Commerce and Shopping, Internet Services",101-250,M&A,"Denis Kim, Indra Kamaludin",2015-01-01,year,2021-05-11,day,,,https://itemku.com/,,https://www.facebook.com/itemku,,,,Itemku is a price comparison and marketplace portal for game credits and items in Indonesia. The company provide a seamless purchase experience to more than 1 million active users in Indonesia.,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",11420,,Active,For Profit,,,,,,,,,,,,,,,,2016-01-15,225000.0,USD,225000.0,Seed,225000.0,USD,225000.0,Seed,225000.0,USD,225000.0,225000.0,USD,225000.0,1.0,"BonAngels Venture Partners, 500 Startups Korea",,2.0,,Was Acquired,Private,,,,,,,,,,,,,"139,734",97.0,,24.0,
Eternal,https://www.crunchbase.com/organization/eternal-organizer,"Advertising Platforms, Communities, E-Commerce, Edutainment, Event Management, Information Technology, Media and Entertainment, Video Games","Bandung, Jawa Barat, Indonesia",Creative Society Organizer Platform,"132,219","Advertising, Commerce and Shopping, Community and Lifestyle, Education, Events, Gaming, Information Technology, Media and Entertainment",1-10,Seed,Yonathan Aditya,2014-08-21,day,,,,,https://www.eternalorganizer.com,,https://www.facebook.com/eternalorganizer,https://www.linkedin.com/company/eternalorganizer,hello@eternalorganizer.com,+6285186877795,"Eternal is a dynamic and innovative creative society organizer platform. Creative Society Organizer Platform is an essential space for individuals passionate about creativity to connect, collaborate, learn, and grow. It fosters an environment of innovation, helping members develop their skills, explore new opportunities, and contribute to the broader creative industry. Whether for personal growth or professional advancement, this platform serves as an indispensable resource for those looking to thrive in the creative world.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,,Active,For Profit,,,,,,,,,,,,,,,,2019-03-01,250000.0,USD,250000.0,Seed,250000.0,USD,250000.0,Seed,300000.0,USD,300000.0,300000.0,USD,300000.0,2.0,,,,,,Private,,,,,,,,,,,,,"140,335",11.0,,,
Mybookr.io,https://www.crunchbase.com/organization/mybookr-io,"Reservations, SaaS, Tourism, Travel","Bali, Jawa Barat, Indonesia",Mybookr.io is a travel marketplace offering low-commission and white-label booking solutions for tourists.,"132,236","Events, Media and Entertainment, Software, Travel and Tourism",1-10,Seed,,2024-05-31,day,,,,,https://www.mybookr.io,https://x.com/mybookr_io,https://www.facebook.com/profile.php?id=61565481354296,https://www.linkedin.com/company/mybookr-io,info@mybookr.io,+62 851-9005-3651,"MyBookr.io is a Shopify for bookings in Bali and other touristic hotspots, offering easy setup, robust data analytics, and an intuitive user dashboard to facilitate bookings for hotels, villas, and activities like hotel and villa management companies, diving schools, yacht charters, and tours, aiming to become the leading booking technology provider in Indonesia and APAC.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",80361,,Active,For Profit,,,,,,,,,,,,,,,,2024-07-01,,,,Angel,,,,Angel,110000.0,USD,110000.0,110000.0,USD,110000.0,2.0,030labs,1.0,1.0,,,Private,,,,,,,,,,,,,"140,353",7.0,,,
ASTRNT,https://www.crunchbase.com/organization/astronaut-technologies,"Computer, Information Technology, Personal Branding, Software","Jakarta, Jakarta Raya, Indonesia","ASTRNT is a software company focussed on video screening, personal branding, and candidate sourcing.","132,752","Consumer Electronics, Hardware, Information Technology, Sales and Marketing, Software",51-100,Seed,"Manfred Ekblad, Nigel Hembrow",2015-01-01,day,,,,,http://www.astrnt.co/,,https://www.facebook.com/astrnt.co,https://www.linkedin.com/company/astrnt-co,team@astrnt.co,,"Astronaut Technologies is a software company focusing on video screening, personal branding, and candidate sourcing to change how enterprises go about their business more efficiently. It was founded in 2015 and is based in Jakarta, Jakarta Raya, Indonesia.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,,Active,For Profit,,,,,,,,,,,,,,,,2017-09-12,50000.0,USD,50000.0,Seed,50000.0,USD,50000.0,Seed,50000.0,USD,50000.0,50000.0,USD,50000.0,1.0,"Gan Kapital, GK-Plug and Play Indonesia",,2.0,1.0,Made Acquisitions,Private,,,,,,,,,,,,,"140,884",6.0,"Marketing, Operations, Product, Sales",17.0,
TiinTiin,https://www.crunchbase.com/organization/tiintiin,"Automotive, Marketplace","Jakarta, Jakarta Raya, Indonesia",TiinTiin is a multi-vertical transactional marketplace for used cars and motorcycles.,"133,915","Commerce and Shopping, Transportation",11-50,Seed,Rolf Monteiro,2020-01-01,year,,,,,https://tiintiin.id/,,https://www.facebook.com/tiintiin.id,https://www.linkedin.com/company/tiintiin-indonesia,info@tiintiin.id,,TiinTiin is a multi-vertical transactional marketplace for used cars and motorcycles.,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,,Active,For Profit,,,,,,,,,,,,,,,,2020-07-08,2500000.0,USD,2500000.0,Seed,2500000.0,USD,2500000.0,Seed,2500000.0,USD,2500000.0,2500000.0,USD,2500000.0,1.0,"Amand Ventures, Rolf Monteiro, Luminary Media Nusantara",3.0,3.0,,,Private,,,,,,,,,,,,,"142,091",4.0,,,
Kehamilan Sehat Sejahtera,https://www.crunchbase.com/organization/kehamilan-sehat-sejahtera,Health Care,"Jakarta, Jakarta Raya, Indonesia",Maternity and Pediatric Clinic,"134,358",Health Care,251-500,Seed,,2015-12-05,day,,,,,https://kehamilansehat.com/en/,,,,ajs@kehamilansehat.com,,Chain Maternity and Pediatric Clinic,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",13460,,Active,For Profit,,,,,,,,,,,,,,,,2022-05-01,1000000.0,USD,1000000.0,Seed,1000000.0,USD,1000000.0,Seed,1800000.0,USD,1800000.0,1800000.0,USD,1800000.0,2.0,Salt Ventures,1.0,1.0,,,Private,,,,,,,,,,,,,"142,552",2.0,,,
Koltiva,https://www.crunchbase.com/organization/pt-cultivate,"B2B, CRM, Enterprise Resource Planning (ERP), Information Technology, Software","Jakarta, Jakarta Raya, Indonesia",Koltiva is an information technology and software consulting firm providing tailored IT solutions and agri-tech services.,"134,536","Information Technology, Other, Sales and Marketing, Software",501-1000,Early Stage Venture,Furqonuddin Ramdhani,2013-06-16,day,,,,,https://koltiva.com/,,https://www.facebook.com/koltiva.id,https://www.linkedin.com/company/pt-koltiva/,support@koltiva.com,62 21 - 3970 2013,"Koltiva is an integrated technology company that provides tailor-made software solutions and services for end-to-end business processes. Established in 2013 in Indonesia, and incorporated 2017 in Switzerland, Koltiva provides cutting edge technology and outstanding user support services to clients and users in 29 countries.  Through our proven end-to-end software applications and services, we enable our clients to improve operational efficiency, significantly reduce costs and risks, increase producers’ profitability and develop sustainable production from farm to fork.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",12790,$50M to $100M,Active,For Profit,,,,,,,,,,,,,,,,2023-09-19,,,,Series A,,,,Series A,,,,,,,2.0,"AC Ventures, Silverstrand Capital, The Meloy Fund, Blue7, Development Finance Asia",2.0,6.0,,,Private,,,,,,,,,,,,,"142,740",9.0,"Human Resources, Information Technology, Operations, Product",,
Bewanto,https://www.crunchbase.com/organization/pinjam,"Financial Services, FinTech","Jakarta, Jakarta Raya, Indonesia",Bewanto was a small business running as local business start on july 2018.,"134,901",Financial Services,11-50,,Sofian Hadiwijaya,2018-03-05,day,,,,,https://bewanto.com/,https://twitter.com/raulhernandezcs,https://www.facebook.com/profile.php?id=61553918503511,https://www.linkedin.com/company/konsum/,konsumtifai@gmail.com,+622127506800,"Konsumtif.com is a financial services technology company that provides cloud services platform online pawn. Besides, They also conduct financial services more effective and efficient for Their customers using pinjam.co.id platform for all your needs. Borrow Indonesia and started to develop Their initiation in December 2014. Starting from trying to facilitate a person in getting quick funds through the channel digital and minimizes pawn transactions with direct face to face. Their company's vision is becoming a trusted financial services provider in Indonesia with a technological base. pinjam.co.id do Services handover of the goods with the choice as follows, namely:","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",12130,Less than $1M,Active,For Profit,,,,,,,,,,,,,,,,2020-02-04,1000000.0,USD,1000000.0,Venture - Series Unknown,1000000.0,USD,1000000.0,Venture - Series Unknown,1000000.0,USD,1000000.0,1000000.0,USD,1000000.0,1.0,,,,,,Private,,,,,,,,,,,,,"143,113",7.0,,,
Jago,https://www.crunchbase.com/organization/bank-artos,"Banking, Financial Services","Jakarta, Jakarta Raya, Indonesia",Jago provides banking and financial services.,"135,496","Financial Services, Lending and Investments",251-500,IPO,Linawati Arto Hardy,1992-12-14,day,2016-01-12,day,,,https://www.jago.com/,https://twitter.com/jadijago,,https://www.linkedin.com/company/pt-bank-jago-tbk/,info@bankartos.co.id,022-4200202,"Bank Jago is a listed technology-based bank and is a mobile on-demand services and payments platform. Jago integrated a cashless payment method on the through the Gojek app. Jago was established on December 14, 1992 by Linawati Arto Hardy in Bandung, Jawa Barat.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,$50M to $100M,Active,For Profit,,,,,1.0,1.0,,,,1.0,,,,,,2021-10-04,,,,Post-IPO Equity,,,,Post-IPO Equity,160000000.0,USD,160000000.0,160000000.0,USD,160000000.0,2.0,"Ribbit Capital, Gojek",2.0,2.0,,,Public,2016-01-12,,,,,,,,,ARTO,https://www.crunchbase.com/ipo/bank-artos-ipo--c4c4bc25,IDX - Indonesia Stock Exchange,"143,721",14.0,"Engineering, Finance, Human Resources, Sales",10.0,
Kata.ai,https://www.crunchbase.com/organization/kata,"Artificial Intelligence (AI), Chatbot, Machine Learning, Natural Language Processing, PaaS, SaaS","Jakarta, Jakarta Raya, Indonesia","Kata.ai is a Conversational Artificial Intelligence company, providing the ultimate toolset for developers to build sophisticated chatbots.","136,039","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",51-100,Early Stage Venture,"Ahmad Rizqi Meydiarso, Chris Franke, Irzan Raditya, Reynir Fauzan, Wahyu Wrehasnaya",2015-06-01,month,,,,,http://kata.ai/,https://twitter.com/katadotai,https://www.facebook.com/katadotai/,https://www.linkedin.com/company/kata-ai/,business@kata.ai,,"Kata.ai is an Indonesian Conversational Artificial Intelligence company with a focus on enhancing the understanding of human conversations, improving the way humans collaborate with machines. Kata.ai’s Natural Language Processing (NLP) technology powers intelligent chatbots (virtual customer service / virtual friend) for major corporations in Indonesia across a different kind of industries such as Unilever (FMCG) and Telkomsel (Telco). The company’s proprietary Kata Bot Platform can be leveraged to create engaging chatbots on top of Kata.ai’s robust and scalable AI technology platform, ensuring company of any size can easily build their own chatbot on any messaging platform. Established in 2015, the company has become a trusted partner for major corporations such as Microsoft, Accenture, and Line. In 2017, the company also received Series-A funding led by Trans-Pacific Technology Fund.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",12410,$10M to $50M,Active,For Profit,,,,,,,,,,,,,,,,2018-02-01,,,,Non-equity Assistance,3500000.0,USD,3500000.0,Series A,3500000.0,USD,3500000.0,3500000.0,USD,3500000.0,3.0,"500 Global, MDI Ventures, Spiral Ventures, Access Ventures, AC Ventures",2.0,13.0,1.0,Made Acquisitions,Private,,,,,,,,,,,,,"144,283",3.0,Operations,15.0,
Cashtree,https://www.crunchbase.com/organization/cashtree,"Advertising, Advertising Platforms, Publishing","Jakarta, Jakarta Raya, Indonesia",Mobile lock screen advertising service,"136,074","Advertising, Content and Publishing, Media and Entertainment, Sales and Marketing",11-50,Early Stage Venture,"Chandramohan P., Dallen Kim",2015-01-01,year,,,,,http://www.cashtree.id/,https://twitter.com/cashtree_id?lang=en,https://www.facebook.com/cashtree.id,https://www.linkedin.com/company/cashtree,sales@cashtree.id,,"Cashtree is an advertising platform on Android for Indonesia market that serves our contents & ads via lockscreen. As an ads channel, we are specializing at facilitating CPI and CPC and CPA campaign.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",12870,$10M to $50M,Active,For Profit,,,,,,,,,,,,,,,,2016-09-21,4000000.0,USD,4000000.0,Series A,4000000.0,USD,4000000.0,Series A,4000000.0,USD,4000000.0,4000000.0,USD,4000000.0,1.0,"Korea Investment Partners, Kakao Ventures",2.0,2.0,,,Private,,,,,,,,,,,,,"144,322",7.0,"Operations, Product",,
Club Kyta,https://www.crunchbase.com/organization/club-kyta,"E-Commerce, Retail, Shopping","Jakarta, Jakarta Raya, Indonesia",Club Kyta provides high-quality lifestyle brands for tier-2 and 3 cities in Indonesia.,"136,610",Commerce and Shopping,11-50,Seed,,,,,,,,https://clubkyta.com/,,,https://www.linkedin.com/company/clubkyta/,,,,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,Less than $1M,Active,For Profit,,,,,,,,,,,,,,,,2023-09-08,125000.0,USD,125000.0,Pre-Seed,125000.0,USD,125000.0,Pre-Seed,125000.0,USD,125000.0,125000.0,USD,125000.0,1.0,Antler,,1.0,,,Private,,,,,,,,,,,,,"144,873",8.0,,,
Altech Omega Andalan,https://www.crunchbase.com/organization/altech-omega-andalan,"Business Intelligence, Consulting, Enterprise Resource Planning (ERP), Information Technology, Mobile Apps, Software","Jakarta, Jakarta Raya, Indonesia",System Integrator || ERP System || Custom Application Development || Business Intelligence || IT Consultation,"136,896","Apps, Data and Analytics, Information Technology, Mobile, Professional Services, Software",11-50,Seed,,2017-02-01,month,,,,,https://www.altechomega.com,,,https://www.linkedin.com/company/pt-altech-omega-andalan,a.sieto@altechomega.com,+6281296556868,"Altech Omega Andalan, PT is a fast-growing IT-service provider located in the heart of Indonesia. Our Business lines are varied, starting from custom development and implementation of Industrial Enterprise Resource Planning (ERP) as well as helping start-up and young business to growth using Technology as their core platform.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",11430,Less than $1M,Active,For Profit,,,,,,,,,,,,,,,,2022-01-01,500000.0,USD,500000.0,Seed,500000.0,USD,500000.0,Seed,500000.0,USD,500000.0,500000.0,USD,500000.0,4.0,Javas Venture LLC,1.0,1.0,,,Private,,,,,,,,,,,,,"145,174",5.0,,,
Temanmedia,https://www.crunchbase.com/organization/temanmedia-com,"Advertising, Consulting, Digital Marketing, Digital Media, Information Technology, Semantic Web, Web Development","Jakarta, Jakarta Raya, Indonesia",Temanmedia is a digital business agency that offers web consulting and internet marketing services for e-commerce and brands.,"137,096","Advertising, Information Technology, Internet Services, Media and Entertainment, Professional Services, Sales and Marketing, Software",51-100,Seed,,2015-10-30,day,,,,,https://www.temanmedia.com,https://twitter.com/temanmediacom,https://web.facebook.com/temanmediacom/,https://www.linkedin.com/company/temanmedia.com/,budi@temanmedia.com,0812-8000-2125,"Temanmedia.com are digital business consulting, also agency Google Partner. We focus on Web Consulting & Internet Marketing. We have an media network focus on press startup, journal startup (media for startup) & event community. Our Specialist Sector is Industry E-Commerce, Media, Product-Brands, Property. Our Skill Capability is: Webmaster Outreach, Semantic SERP, Search Enginee Marketing, Digital Business, Digital Branding on Google, NPD (New Product Development), Product Market-Fit, Luxury Brands. We have community with member student/college from some regional campus. Our vission is help SME, Startup, Entrepreneur, Corporate, Growth with digital technology & media internet.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",10270,,Active,For Profit,,,,,,,,,,,,,,,,2024-12-01,450000000.0,IDR,28410.0,Seed,450000000.0,IDR,28410.0,Seed,450000000.0,IDR,28410.0,450000000.0,IDR,28410.0,1.0,8Ventures,,1.0,,,Private,,,,,,,,,,,,,"145,380",8.0,,,
Chandra Asri,https://www.crunchbase.com/organization/chandra-asri,"Chemical, Manufacturing","Jakarta, Jakarta Raya, Indonesia","Chandra Asri is a petrochemical company that produces olefins, pygas, mixed C4, and polyolefins.","137,274","Manufacturing, Science and Engineering",5001-10000,IPO,"Peter F. Gontha, Prajogo Pangestu",1988-01-01,day,2008-05-26,day,,,http://chandra-asri.com/,https://twitter.com/ChandraasriID,https://www.facebook.com/chandraasripetrochemicalofficial/,https://www.linkedin.com/company/pt-chandra-asri/,corporate.comm@capcx.com,62-21-530-7950,"Chandra Asri is a petrochemical company that produces ethylene, styrene monomer, butadiene, polyethylene, packaging products, pipes, automotive, electronics, and polypropylene. Chandra Asri has an integrated plant with world-class, cutting-edge technology and supporting facilities.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,$1B to $10B,Active,For Profit,,,,,,,,,,,,,,,,2024-04-01,4000000000000.0,IDR,251001271.0,Post-IPO Debt,194000000.0,USD,194000000.0,Post-IPO Equity,194000000.0,USD,194000000.0,445001271.0,USD,445001271.0,2.0,Electricity Generating Public Company,1.0,1.0,,,Public,2008-05-26,,,,,,,,,TPIA,https://www.crunchbase.com/ipo/chandra-asri-ipo--40d714d9,IDX - Indonesia Stock Exchange,"145,569",12.0,"Engineering, Finance, Human Resources, Information Technology, Management, Marketing",,
YukStay,https://www.crunchbase.com/organization/yukstay,"Building Material, E-Commerce, Internet, Marketplace, Real Estate","Jakarta, Jakarta Raya, Indonesia",YukStay is a Real Estate company that helps people to find their desire appartment.,"137,538","Commerce and Shopping, Internet Services, Real Estate",101-250,M&A,"Christopher Kung, Jacky S",2018-01-01,year,2021-03-25,day,2021-03-25,day,https://www.yukstay.com/,https://twitter.com/YukStay,https://www.facebook.com/YukStayy,https://www.linkedin.com/company/yukstay,commercial@yukstay.com,+6287881000012,"YukStay is a technology property company that is an online marketplace for apartment rentals. As a solution to the problem of apartment owners and urban communities to find housing. The company is driven by its mission is to provide affordable city living through Co-living. YukStay was founded in 2018 and headquartered in Jakarta Raya, Indonesia.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",11850,$1M to $10M,Closed,For Profit,,,,,,,,,,,,,,,,2020-03-16,150000.0,USD,150000.0,Venture - Series Unknown,150000.0,USD,150000.0,Venture - Series Unknown,4150000.0,USD,4150000.0,4150000.0,USD,4150000.0,4.0,"Y Combinator, Insignia Ventures Partners",1.0,2.0,,Was Acquired,Private,,,,,,,,,,,,,"145,840",,,,
