Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Website,LinkedIn,Facebook,Twitter,Company Type,Actively Hiring,Industry Groups,Number of Employees,Top 5 Investors,Number of Funding Rounds,Funding Status
IDS | BTEC,https://www.crunchbase.com/organization/ids-international-design-school,,"E-Learning, EdTech, Education","Jakarta, Jakarta Raya, Indonesia","IDS | BTEC is an educational establishment specializing in the creative disciplines of Design, Animation, and Film.","146,665",http://idseducation.com/,https://www.linkedin.com/company/ids-international-design-school,https://www.facebook.com/idsEducationcom,http://www.twitter.com/idseducationcom,For Profit,,"Education, Software",11-50,,1,
Kisai Entertainment,https://www.crunchbase.com/organization/kisai-entertainment,,"Animation, Digital Media, Publishing","Dki Jakarta, Jakarta Raya, Indonesia","Kisai Entertainment crafts webtoon legacies that inspire generations, illuminating paths for storytellers and artists alike.","146,698",https://kisaient.com,,https://www.facebook.com/KisaiEnt,,For Profit,,"Content and Publishing, Media and Entertainment, Video",11-50,"Sorajima, Anjary Jaya Raya",1,
Sonar Platform,https://www.crunchbase.com/organization/sonar-platform,,"Analytics, Artificial Intelligence (AI), Big Data, Machine Learning, SaaS, Social Media Marketing","Jakarta, Jakarta Raya, Indonesia",Sonar Platform generates automated and personalized insights from social media conversations,"146,841",http://www.sonarplatform.com,https://www.linkedin.com/company/sonar-platform/,https://www.facebook.com/sonarplatform/,https://www.twitter.com/sonarplatform,For Profit,,"Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Science and Engineering, Software",11-50,"MDI Ventures, Indigo by Telkom Indonesia",1,M&A
Bewanto,https://www.crunchbase.com/organization/pinjam,,"Financial Services, FinTech","Jakarta, Jakarta Raya, Indonesia",Bewanto was a small business running as local business start on july 2018.,"146,906",https://bewanto.com/,https://www.linkedin.com/company/konsum/,https://www.facebook.com/profile.php?id=61553918503511,https://twitter.com/raulhernandezcs,For Profit,,Financial Services,11-50,,1,
Alter,https://www.crunchbase.com/organization/alter-7bc9,,"Gaming, Online Games, Video Games","Jakarta, Jakarta Raya, Indonesia",Alter is a game developing platform that is still working in stealth mode.,"147,106",https://beta.alterspace.gg/,,,,For Profit,,Gaming,1-10,Antler,1,Seed
MedcoEnergi,https://www.crunchbase.com/organization/medcoenergi,,Oil and Gas,"Jakarta, Jakarta Raya, Indonesia",MedcoEnergi is an oil and gas company.,"147,151",http://www.medcoenergi.com/,https://www.linkedin.com/company/medco-e&p-indonesia,,,For Profit,,"Energy, Natural Resources",1001-5000,,1,IPO
Altech Omega Andalan,https://www.crunchbase.com/organization/altech-omega-andalan,,"Business Intelligence, Consulting, Enterprise Resource Planning (ERP), Information Technology, Mobile Apps, Software","Jakarta, Jakarta Raya, Indonesia",System Integrator || ERP System || Custom Application Development || Business Intelligence || IT Consultation,"147,655",https://www.altechomega.com,https://www.linkedin.com/company/pt-altech-omega-andalan,,,For Profit,,"Apps, Data and Analytics, Information Technology, Mobile, Professional Services, Software",11-50,Javas Venture LLC,4,Seed
PT Optimal Teknologi Indonesia,https://www.crunchbase.com/organization/general-technology,,"Big Data, Communications Infrastructure, Consulting, Information Technology, Internet, IT Infrastructure, Mobile Apps","Jakarta, Jakarta Raya, Indonesia",PT Optimal Teknologi Indonesia is an information technology and outsourcing firm based in Indonesia.,"147,705",,,,,For Profit,,"Apps, Data and Analytics, Hardware, Information Technology, Internet Services, Mobile, Professional Services, Software",51-100,,3,Seed
PT Angkasa Pura II,https://www.crunchbase.com/organization/pt-angkasa-pura-ii,,"Collaborative Consumption, Government, Transportation","Jakarta, Jakarta Raya, Indonesia",PT Angkasa Pura II is the State Owned Corporation which manage & operate Airports in west part of Indonesia.,"147,872",https://www.angkasapura2.co.id,https://www.linkedin.com/company/pt-angkasa-pura-ii,https://www.facebook.com/airport138/?ref=br_tf,https://www.twitter.com/@contactap2,For Profit,,"Government and Military, Other, Transportation",101-250,,,
SINIE,https://www.crunchbase.com/organization/sinie,,"Information Technology, Internet, Software","Jakarta, Jakarta Raya, Indonesia",Sinie is the first Indonesian RTE/RTC SaaS platform providing teleconference platform secured with end-to-end encryption.,"148,265",https://www.sinie.io/en,https://www.linkedin.com/company/pt-davel-surya-cipta/about/,https://www.facebook.com/profile.php?id=61556702984354,https://x.com/Sinie_io?t=-yMYErptYqqel8oa6z8-iA&s=08,For Profit,,"Information Technology, Internet Services, Software",11-50,Microsoft for Startups,1,
Kvantum Network,https://www.crunchbase.com/organization/kvantum-network,,"Blockchain, Cryptocurrency, Decentralized Finance (DeFi), Non-Fungible Token (NFT), Web3","Surabaya, Jawa Timur, Indonesia",Avenlabs focuses on leveraging cutting-edge technologies to provide effective solutions for businesses and individuals on Blockchain.,"148,656",https://avenlabs.kvantum.guru/,,,,For Profit,,"Blockchain and Cryptocurrency, Financial Services, Internet Services, Other, Payments, Software",11-50,Joy Wibowo,1,Seed
Rassa,https://www.crunchbase.com/organization/rassa-2ade,,"Grocery, Sustainability, Waste Management","Jakarta, Jakarta Raya, Indonesia","Rassa is an innovative institution dedicated to sustainability and waste reduction, with a focus on the Indonesian market.","149,052",https://www.rassa.id,https://www.linkedin.com/company/rassaindonesia/,,,For Profit,,"Food and Beverage, Sustainability",1-10,Antler,1,Seed
Contexa AI,https://www.crunchbase.com/organization/prowriting,,UX Design,"Jakarta, Jakarta Raya, Indonesia",Contexa AI lets product designer generates great design copies with 1 click.,"149,064",https://contexa.app,https://www.linkedin.com/company/contexapp/?viewAsMember=true,,,For Profit,,Design,1-10,Antler,1,Seed
GoPlay,https://www.crunchbase.com/organization/goplay-1d3d,,"Media and Entertainment, Video Streaming","Jakarta, Jakarta Raya, Indonesia",GoPlay is the video streaming service under Indonesia's Gojek.,"149,187",https://goplay.co.id/live,https://www.linkedin.com/company/goplayindonesia/,https://www.facebook.com/GoPlayIndonesia,https://twitter.com/goplayindonesia,For Profit,,"Content and Publishing, Media and Entertainment, Video",101-250,"Golden Gate Ventures, Openspace, ZWC Partners, Ideosource VC, Redbadge Pacific",1,Early Stage Venture
Qareer Group Asia,https://www.crunchbase.com/organization/qareer-group-asia,,"Career Planning, Marketplace","Jakarta, Jakarta Raya, Indonesia",Qareer Group Asia is a  job marketplace company.,"149,373",https://www.qareergroup.asia/,,,,For Profit,,"Commerce and Shopping, Professional Services",1-10,"SoftBank, Kejora Capital, Emtek Group, Mountain Partners",1,
The Body Shop,https://www.crunchbase.com/organization/the-body-shop,,"Beauty, E-Commerce, Health Care, Retail","Tangerang, Jawa Barat, Indonesia","The Body Shop is an online marketplace for natural beauty, facial, and body care products.","149,464",https://www.thebodyshop.co.id/,https://www.linkedin.com/company/the-body-shop-indonesia,,https://twitter.com/TheBodyShopIndo,For Profit,,"Commerce and Shopping, Consumer Goods, Health Care",1001-5000,,,
ADHI,https://www.crunchbase.com/organization/adhi,,"Construction, Infrastructure, Real Estate","Jakarta, Jakarta Raya, Indonesia","ADHI is an Indonesia-based firm that engages in construction services, infrastructure development, property and real estate.","149,515",https://www.adhi.co.id,https://www.linkedin.com/company/pt-adhi-karya-persero-tbk.,https://www.facebook.com/adhikaryaID,https://twitter.com/adhikaryaid,For Profit,,"Other, Real Estate",1001-5000,,1,IPO
PasarMIKRO,https://www.crunchbase.com/organization/pasarmikro,,"Agriculture, E-Commerce, Financial Services, Marketplace","Jakarta, Jakarta Raya, Indonesia",A B2B aggregated marketplace for agriculture with integrated financing facilities,"150,489",https://www.pasarmikro.id,https://www.linkedin.com/company/pasarmikro,,,For Profit,,"Agriculture and Farming, Commerce and Shopping, Financial Services",11-50,"1982 Ventures, Google for Startups, Gayo Capital, Resolution Ventures, Ceniarth",5,
SECHA HOME,https://www.crunchbase.com/organization/secha-home,,"Home Improvement, Home Renovation, Property Management, Real Estate","Jakarta Pusat, Jakarta Raya, Indonesia",Home improvement solution to provide move-in ready homes with no extra cost for renovation,"150,950",https://www.sechahome.com/,https://www.linkedin.com/company/secha/,,,For Profit,,Real Estate,1-10,"Antler, Startup Studio Indonesia, Bonbillo LLC",2,Seed
Cutitronics,https://www.crunchbase.com/organization/cutitronics,,"E-Commerce, Electronics, Health Care, Information Technology","Penjaringan, Jakarta Raya, Indonesia",Cutitronics is skincare start-up,"151,316",http://cutitronics.com/,https://www.linkedin.com/company/10280764/,https://www.facebook.com/pg/cutitronics/about/,https://twitter.com/Cutitronics,For Profit,,"Commerce and Shopping, Consumer Electronics, Hardware, Health Care, Information Technology",1-10,"Croda International, VentureOut",2,
ZtoH,https://www.crunchbase.com/organization/ztoh,,"E-Learning, Education, Training, Unified Communications, Vocational Education","Jakarta, Jakarta Raya, Indonesia",ZtoH is an education company located in South Jakarta.,"151,720",http://ztoh.id,,,,For Profit,,"Education, Information Technology, Internet Services, Messaging and Telecommunications, Software",11-50,,1,Seed
Adaro,https://www.crunchbase.com/organization/adaro,,"Energy, Logistics, Mining","Jakarta, Jakarta Raya, Indonesia",Adaro is an integrated coal mining and energy company.,"151,799",http://www.adaro.com/,https://www.linkedin.com/company/adaroenergy/,https://www.facebook.com/Adaro-Energy-310461172426081/,https://twitter.com/adaroenergytbk,For Profit,,"Energy, Natural Resources, Transportation",501-1000,,,IPO
Newman's,https://www.crunchbase.com/organization/newman-s,,"Beauty, Health Care, Men's, Personal Health, Wellness","Jakarta, Jakarta Raya, Indonesia",Newman's is Indonesia's Digital Health Clinic for men,"152,596",https://newmans.id/,https://www.linkedin.com/company/newmansindonesia/,https://www.facebook.com/pg/newmans.indonesia/,https://twitter.com/newmans_indo,For Profit,,"Community and Lifestyle, Consumer Goods, Health Care",11-50,Y Combinator,1,Seed
Triplogic,https://www.crunchbase.com/organization/triplogic,,Logistics,"Dki Jakarta, Jakarta Raya, Indonesia",Triplogic is a Online application for delivery of goods is less than 24 hours. ,"153,169",http://triplogic.io/,https://www.linkedin.com/company/13420878/,https://www.facebook.com/pg/Triplogic.io/,,For Profit,,Transportation,101-250,East Ventures,2,Seed
Eduku,https://www.crunchbase.com/organization/eduku,,"E-Learning, EdTech, Education","Jakarta, Jakarta Raya, Indonesia",Eduku assists school management by digitizing teaching and learning processes that are efficient and effective.,"153,220",https://eduku.io,https://www.linkedin.com/company/eduku-indonesia,,,For Profit,,"Education, Software",1-10,"Antler, Startup Studio Indonesia",2,Seed
Gro Tech,https://www.crunchbase.com/organization/gro-a617,,"E-Commerce, Software","Jakarta, Jakarta Raya, Indonesia",Gro Tech makes tools that help sellers with their e-commerce businesses.,"153,580",https://www.grotech.id/,https://www.linkedin.com/company/jetsetgro/,,,For Profit,,"Commerce and Shopping, Software",1-10,Antler,1,Seed
"Petani Kakao Lampung, PT",https://www.crunchbase.com/organization/petani-kakao-lampung-pt,,Agriculture,"Bandar Lampung, Lampung, Indonesia",Agriculture & Commodities Trading Co,"153,738",https://www.kakaolampung.com,,,,For Profit,,Agriculture and Farming,11-50,Gayo Capital,2,Seed
KelasDigitalk.com,https://www.crunchbase.com/organization/kelasdigitalk-com,,"E-Learning, EdTech, Education","Dki Jakarta, Jakarta Raya, Indonesia",KelasDigitalk.com is an edutech company that offers a platform connecting students and experts.,"153,761",https://www.kelasdigitalk.com,https://www.linkedin.com/company/kelasdigitalk-com,,https://twitter.com/KelasDigitalk,For Profit,,"Education, Software",1001-5000,8Ventures,1,Seed
LABABOOK,https://www.crunchbase.com/organization/lababook,,"Apps, Finance, Financial Services","Jakarta, Jakarta Raya, Indonesia",Record Keeping Mobile App for SMEs in Indonesia,"153,808",https://www.lababook.com,https://www.linkedin.com/company/lababook/,,,For Profit,,"Apps, Financial Services, Software",1-10,,1,Seed
Petrosea,https://www.crunchbase.com/organization/petrosea,,"Infrastructure, Mining, Oil and Gas","Tangerang, Jawa Barat, Indonesia","Petrosea engages in the field of mining, infrastructure, oil, and gas.","154,126",https://www.petrosea.com/,https://www.linkedin.com/company/petrosea/,https://www.facebook.com/careerpetrosea/,,For Profit,,"Energy, Natural Resources, Other",1001-5000,,,IPO
carclicks,https://www.crunchbase.com/organization/carclicks,,"Automotive, Marketplace, Wholesale","Bandung, Jawa Barat, Indonesia",Carclicks is a platform that specializes in wholesale used car transactions and facilitates the process of selling vehicles.,"154,821",https://carclicks.id,,,,For Profit,,"Commerce and Shopping, Transportation",11-50,Antler,1,Seed
Meatless Kingdom,https://www.crunchbase.com/organization/meatless-kingdom,,"Food and Beverage, Food Processing","Cimahi, Jawa Barat, Indonesia",Meatless Kingdom develops Indonesian-inspired food from plant-based ingredients that is both tasty and has a higher nutritional profile,"154,881",http://www.meatlesskingdom.com,https://www.linkedin.com/company/72976550/admin/,https://www.facebook.com/search/top?q=meatless%20kingdom,,For Profit,,Food and Beverage,11-50,Big Idea Ventures,1,Seed
Ravaya Coffee,https://www.crunchbase.com/organization/ravaya-coffee,,"Coffee, Food Processing, Wholesale","Jakarta, Jakarta Raya, Indonesia","Ravaya Coffee specializes in Indonesian green coffee trade, ensuring quality, sustainability, and fair partnerships to global markets.","155,236",,,,,For Profit,,"Commerce and Shopping, Food and Beverage",1-10,,1,Seed
Logol,https://www.crunchbase.com/organization/logol-c2ee,,"Information Technology, Internet, Logistics, Marketplace, Shipping, Supply Chain Management","Jakarta, Jakarta Raya, Indonesia",Digital overseas logistics marketplace that connects business players with logistics service providers in Indonesia.,"155,287",https://www.logol.co.id,https://www.linkedin.com/company/pt-logol-jakarta-mitraindo/,https://www.facebook.com/pg/logol.id/,,For Profit,,"Commerce and Shopping, Information Technology, Internet Services, Transportation",51-100,"EDI Indonesia, Ivan Kamadjaja",3,M&A
Nectico,https://www.crunchbase.com/organization/nectico,,"Information Technology, Software","Bandung, Jawa Barat, Indonesia",Nectico provides an ERP solution and B2B marketplace for cooperative ecosystems.,"155,367",https://www.nectico.com/en/,https://www.linkedin.com/company/nectico,,,For Profit,,"Information Technology, Software",1-10,"Antler, Startup Studio Indonesia",2,Seed
Sesama Care,https://www.crunchbase.com/organization/sesama-care,,"Apps, Health Care, Wellness","Kuningan, Jakarta Raya, Indonesia",Sesama Care is a healthcare platform developed with the aim of providing accessible and affordable long-term health and wellness support.,"155,513",http://www.sesama.care/,,,,For Profit,,"Apps, Health Care, Software",,Antler,1,Seed
Bank BTPN,https://www.crunchbase.com/organization/bank-btpn,,"Banking, Finance, Financial Services","Jakarta, Jakarta Raya, Indonesia","Bank BTPN is now bigger and stronger to serve a broad segment of customers, from retail to corporations.","155,574",https://www.btpn.com/,https://www.linkedin.com/company/pt-bank-tabungan-pensiunan-nasional-tbk/,https://www.facebook.com/BankBTPNOfficial/,https://twitter.com/sahabatbtpn,For Profit,,"Financial Services, Lending and Investments",10001+,International Finance Corporation,1,IPO
Media Startup,https://www.crunchbase.com/organization/mediastartup-indonesia,,"Digital Media, News, Online Portals","Jakarta, Jakarta Raya, Indonesia","Media Startup is an online media that offers startup news, business press releases & community events for startup founders or entrepreneurs.","155,615",https://www.mediastartup.id/,https://www.linkedin.com/company/media-startup-id/,https://web.facebook.com/mediastartup.id/?_rdc=1&_rdr,,For Profit,,"Content and Publishing, Internet Services, Media and Entertainment",11-50,8Ventures,1,Seed
Motoran,https://www.crunchbase.com/organization/motoran,,"E-Commerce, Internet, Marketplace, Online Portals, Transportation","Jakarta, Jakarta Raya, Indonesia",Motoran operates an online marketplace for buying and selling secondhand motorcycles.,"155,921",https://www.motoran.id/,https://www.linkedin.com/company/motoran,https://www.facebook.com/motoranofficial,,For Profit,,"Commerce and Shopping, Internet Services, Transportation",1-10,Antler,1,Seed
Solardex Energy,https://www.crunchbase.com/organization/solardex-energy,,"Clean Energy, Energy, Renewable Energy, Solar","Semarang, Jawa Barat, Indonesia",Solardex Energy is a renewable solar energy company based in Indonesia. We supply and provide solar energy solutions.,"156,022",https://www.solardexenergy.com,https://www.linkedin.com/company/pt-solardex-energy-indonesia,https://www.facebook.com/solardexenergy/,,For Profit,,"Energy, Natural Resources, Sustainability",11-50,,1,Seed
Ziwa,https://www.crunchbase.com/organization/ziwa,,"Communities, Health Care, Wellness","Tebet, Jakarta Raya, Indonesia",Ziwa is a community that provides life-changing group programs to enhance each other's mental well-being.,"156,812",https://www.ziwaku.com,https://www.linkedin.com/company/ziwaku,,https://twitter.com/Ziwa_id,For Profit,,"Community and Lifestyle, Health Care",11-50,Antler,1,Seed
Lakupon,https://www.crunchbase.com/organization/lakupon,,"Digital Entertainment, E-Commerce, Food and Beverage, Lifestyle","Jakarta, Jakarta Raya, Indonesia",LaKupon adalah website Deal yang menawarkan deal-deal menarik dengan diskon terbaik!,"156,920",https://lakupon.com/,https://www.linkedin.com/company/lakupon,https://www.facebook.com/lakuponku/,https://twitter.com/lakupon,For Profit,,"Commerce and Shopping, Community and Lifestyle, Food and Beverage, Media and Entertainment",11-50,New Wealth Capital,1,
Samator Indo Gas,https://www.crunchbase.com/organization/aneka-gas-industri,,"Industrial Manufacturing, Manufacturing, Oil and Gas","Jakarta, Jakarta Raya, Indonesia","Aneka Gas Industri is an industrial gas company that provides medical gas, synthetic gases, and fuel gases.","157,259",https://anekagas.com,https://www.linkedin.com/company/pt-sigas-tbk,https://www.facebook.com/Pt-Aneka-Gas-Industri-Jakarta-Head-Office-592849024532933,,For Profit,,"Energy, Manufacturing, Natural Resources",501-1000,CVC Capital Partners,1,IPO
Riauwebhost,https://www.crunchbase.com/organization/riauwebhost,,"Consulting, Information Technology, Internet","Pekanbaru, Riau, Indonesia",Riauwebhost is a website creation service company.,"157,439",https://www.riauwebhost.com,https://www.linkedin.com/company/riauwebhost-indonesia,https://www.facebook.com/riauwebhost,https://twitter.com/riauwebhost,For Profit,,"Information Technology, Internet Services, Professional Services",1-10,Google,1,Seed
GreenHCM,https://www.crunchbase.com/organization/greenhcm,,"Enterprise Software, Software","Jakarta, Jakarta Raya, Indonesia","GreenHCM is integrated Human Capital Management System Dashboard used by company / institution to build, monitor and support their people.","157,452",http://www.greenhcm.com,https://www.linkedin.com/company/greenhcm/,,,For Profit,,Software,11-50,,2,Seed
PT Nippon Indosari Corpindo,https://www.crunchbase.com/organization/sari-roti,,"Food and Beverage, Food Processing, Organic Food","Bekasi, Jawa Barat, Indonesia",Sari Roti is a brand of bread famous in Indonesia producing a wide range of bread and sweet bread.,"157,896",http://www.sariroti.com/,https://www.linkedin.com/company/pt-nippon-indosari-corpindo-tbk,https://www.facebook.com/sari.roti,https://twitter.com/sarirotidotcom,For Profit,,Food and Beverage,5001-10000,Kohlberg Kravis Roberts,1,IPO
Graha Trans,https://www.crunchbase.com/organization/graha-trans,,"Logistics, Shipping, Transportation","Jakarta, Jakarta Raya, Indonesia",Graha Trans is a transportation and logistics firm that provides truck rental and on-call transportation services.,"157,958",https://grahatrans.com,https://www.linkedin.com/company/pt-grahaprima-suksesmandiri-graha-trans,https://www.facebook.com/Graha.Trans,,For Profit,,Transportation,501-1000,,,IPO
KinerjaPay,https://www.crunchbase.com/organization/kinerjapay,,"E-Commerce, Payments, Transaction Processing","Jakarta, Jakarta Raya, Indonesia",KinerjaPay provides digital payment solutions to brick-and-mortal businesses in Indonesia and South East.,"157,969",http://www.kinerjapay.co/,https://in.linkedin.com/company/pt-kinerja-pay-indonesia,https://www.facebook.com/KinerjaPay/,https://twitter.com/kinerjapay,For Profit,,"Commerce and Shopping, Financial Services, Payments, Software",51-100,Investa Wahana Group,1,IPO
Kura Kura Beer,https://www.crunchbase.com/organization/kura-kura-beer,,"Craft Beer, Food and Beverage","Denpasar, Bali, Indonesia",Kura Kura Beer is a slow-drinking pale ale brewed in Bali and is packed with fruity hop aromas.,"157,994",https://kurakurabeer.com/,https://www.linkedin.com/company/kurakurabeer/,https://www.facebook.com/kurakurabeerbali/,,For Profit,,Food and Beverage,11-50,Newchip Accelerator,1,Early Stage Venture
Pocket Pet,https://www.crunchbase.com/organization/pocket-pet,,"Mobile Apps, Pet","Jakarta, Jakarta Raya, Indonesia",Pocket Pet is an all-in-one mobile app that connects pet owners to vets and other service providers.,"158,150",https://www.pocketpet.co/,https://www.linkedin.com/company/ivetdata,https://www.facebook.com/pocketpet.co,,For Profit,,"Apps, Community and Lifestyle, Mobile, Software",1-10,Antler,1,Seed
LogikaRasa,https://www.crunchbase.com/organization/logikarasa,,"Art, Digital Entertainment, Education","Tebet Barat, Jakarta Raya, Indonesia",LogikaRasa is a social startup promoting Indonesian literature.,"158,977",,,,,For Profit,,"Education, Media and Entertainment",1-10,January Enterprises,1,Seed
Oxdream Group,https://www.crunchbase.com/organization/ox-dream,,"Digital Media, Information Technology","Jakarta, Jakarta Raya, Indonesia",Oxdream is a group of companies and investment firm that invests new companies with proven business models.,"159,882",http://www.oxdream.co.id,https://www.linkedin.com/company/oxdream,https://www.facebook.com/oxdream/,https://twitter.com/oxdreamcom,For Profit,,"Information Technology, Media and Entertainment",11-50,"University of Indonesia, RnB Fund",2,Seed
Bling,https://www.crunchbase.com/organization/bling-6c83,,"E-Commerce, E-Commerce Platforms, Marketplace","Jakarta, Jakarta Raya, Indonesia",Bling is a live community marketplace that enables communities to participate in live auctions or live flash sales.,"159,930",https://bling-live.com/,,,https://twitter.com/_blinglive,For Profit,,"Commerce and Shopping, Internet Services",,Antler,1,Seed
Suryanesia,https://www.crunchbase.com/organization/suryanesia,,"Clean Energy, Renewable Energy","Jakarta, Jakarta Raya, Indonesia",Suryanesia is a startup focused on clean energy.,"160,337",https://suryanesia.com,https://www.linkedin.com/company/suryanesia,,,For Profit,,"Energy, Sustainability",1-10,Intudo Ventures,1,Seed
Petskita,https://www.crunchbase.com/organization/petskita,,"E-Commerce, Mobile Apps, Pet","Jakarta, Jakarta Raya, Indonesia",PETSKITA is Indonesia's growing community-based pet parenting ecosystem helping address the challenges of pet parenting in Indonesia.,"160,800",http://petskita.com,https://www.linkedin.com/company/petskita/,https://www.facebook.com/petskita.indonesia,https://twitter.com/petskita,For Profit,,"Apps, Commerce and Shopping, Community and Lifestyle, Mobile, Software",11-50,,1,Seed
Logice,https://www.crunchbase.com/organization/logice,,"Logistics, Supply Chain Management, Transportation","Jakarta, Jakarta Raya, Indonesia","Logice delivers seamless cold chain solutions, improving reliability in warehouse, delivery, and processing.","160,871",https://www.logiceindonesia.com/,https://www.linkedin.com/company/logice-indonesia/,,,For Profit,,Transportation,1-10,Antler,1,Seed
Vasham Kosa Sejahtera,https://www.crunchbase.com/organization/vasham-kosa-sejahtera,,"Agriculture, AgTech, Farming","Jakarta, Jakarta Raya, Indonesia",Vasham is an integrated agriculture company located in Jakarta,"160,965",http://www.vasham.co.id/,https://www.linkedin.com/company/vasham/,https://www.facebook.com/vasham.id/,,For Profit,,Agriculture and Farming,501-1000,"Patamar Capital, Mercy Corps Ventures",2,Early Stage Venture
Ride Jakarta,https://www.crunchbase.com/organization/ride-jakarta,,"Health Care, Leisure, Tourism, Travel","Jakarta, Jakarta Raya, Indonesia",Ride Jakarta is an indoor cycling studio.,"161,307",http://ridejkt.com/,https://www.linkedin.com/company/13263537/,https://www.facebook.com/ridejakarta,https://twitter.com/ridejakarta,For Profit,,"Community and Lifestyle, Health Care, Travel and Tourism",11-50,"East Ventures, Intudo Ventures, RHL Ventures, Agaeti Venture Capital, Prasetia Dwidharma",4,
ESKRO,https://www.crunchbase.com/organization/eskro-co-id,,"Enterprise, Finance, Financial Services, Logistics, Supply Chain Management","Jakarta, Jakarta Raya, Indonesia",Close deals faster with the secure escrow service from ESKRO.,"161,338",https://eskro.id,https://www.linkedin.com/company/eskro-id/,,,For Profit,,"Financial Services, Other, Transportation",1-10,,1,Seed
Talenta,https://www.crunchbase.com/organization/talenta,,"Human Resources, Recruiting, SaaS, Software","Jakarta, Jakarta Raya, Indonesia",Talenta is a Human resource information company.,"161,697",http://talenta.co,https://www.linkedin.com/company/talenta.co/,https://www.facebook.com/talentaco/,https://twitter.com/talentaco,For Profit,Yes,"Administrative Services, Professional Services, Software",101-250,"East Ventures, Pegasus Tech Ventures, Skystar Capital, Google Launchpad Accelerator",4,M&A
Habaku,https://www.crunchbase.com/organization/habaku,,"Operating Systems, SaaS, Software","Jakarta, Jakarta Raya, Indonesia",Habaku specializes in creating a Vertical Operating System designed specifically for the pharmaceuticals ecosystem.,"162,042",https://www.habaku.id,,,,For Profit,,"Platforms, Software",,Antler,1,Seed
KepingAi,https://www.crunchbase.com/organization/kepingai,,"Blockchain, Cryptocurrency","Jakarta, Jakarta Raya, Indonesia",KepingAI is building a decentralized trading bot marketplace.,"162,473",https://kepingai.com,https://www.linkedin.com/company/kepingai/,,https://twitter.com/KepingAI,For Profit,,"Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software",1-10,Ida Bagus Ratu Diaz Agasatya,2,Seed
Geekzwolf,https://www.crunchbase.com/organization/geekzwolf,,"Blockchain, Gaming, Internet","Jakarta, Jakarta Raya, Indonesia",Geekzwolf is a blockchain-powered gaming hub platform that attract the real gamers in a way that gamers enjoy the most,"162,829",https://geekzwolf.com/,https://www.linkedin.com/company/geekzwolf/?viewAsMember=true,,https://twitter.com/GeekzWolf,For Profit,,"Blockchain and Cryptocurrency, Gaming, Internet Services, Other",1-10,"Antler, Raditya Pramana",1,Seed
Club Kyta,https://www.crunchbase.com/organization/club-kyta,,"E-Commerce, Retail, Shopping","Jakarta, Jakarta Raya, Indonesia",Club Kyta provides high-quality lifestyle brands for tier-2 and 3 cities in Indonesia.,"163,122",https://clubkyta.com/,https://www.linkedin.com/company/clubkyta/,,,For Profit,,Commerce and Shopping,11-50,Antler,1,Seed
HOTEL NIDA,https://www.crunchbase.com/organization/global-rooms-limited,,"Hotel, Leisure, Tourism, Travel","Jakarta, Jakarta Raya, Indonesia","HOTEL NIDA provides information about trip destinations, hotel pricing, and lodging availability.","163,217",http://www.hotelnida.com,https://www.linkedin.com/company/nida-rooms,https://www.facebook.com/HotelNIDAPH,https://twitter.com/hotel_nida,For Profit,,"Community and Lifestyle, Travel and Tourism",11-50,"CyberAgent Capital, True., Convergence Ventures, Shanda Group, East Pacific Capital",5,Early Stage Venture
Bina Artha Ventura,https://www.crunchbase.com/organization/bina-artha-ventura,,Financial Services,"Ponorogo, Jawa Timur, Indonesia",Bina Artha Ventura is a company that provides financial services.,"163,408",https://bina-artha.com/,https://www.linkedin.com/company/ptbinaarthaventura,,,For Profit,,Financial Services,1-10,,,
IRACEMETA.IO,https://www.crunchbase.com/organization/iracemeta-io,,"Blockchain, Metaverse","Jakarta, Jakarta Raya, Indonesia",Develop Apps & Dapps into Sports Space with Blockchain technology and future Web.3,"164,141",https://iracemeta.io/,https://www.linkedin.com/company/72338154/admin/,https://www.facebook.com/IRACE-META-117447824278276,https://twitter.com/iracemetaio,For Profit,,"Blockchain and Cryptocurrency, Media and Entertainment, Other, Software",11-50,,1,Seed
Rembuyung,https://www.crunchbase.com/organization/rembuyung,,Chemical,"Jakarta, Jakarta Raya, Indonesia",Rembuyung is a fertilizer producer startup.,"164,157",,,,,For Profit,,Science and Engineering,1-10,Panta Capital,1,Seed
PINA Indonesia,https://www.crunchbase.com/organization/pina,,"Apps, Finance, Financial Services","Jakarta, Jakarta Raya, Indonesia",PINA Indonesia is a finance application that offers products and advice that make complicated financial decisions simple and relevant.,"164,563",https://pina.id/,https://www.linkedin.com/company/pinaindonesia/about/,https://www.facebook.com/pinaindonesia,https://x.com/PINA_ID,For Profit,,"Apps, Financial Services, Software",11-50,"Y Combinator, 1982 Ventures, iSeed, AC Ventures, XA Network",2,Seed
